Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test level),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text Steps),Custom field (Text Steps),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SM - Verify Search - Verify search is vaild,NC-54,10298,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:16 PM,03/Jan/23 4:42 PM,03/Jan/23 4:35 PM,,,0,Search,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-4,,,,No error message appeared after enter search,,,,,0|i001jq:,,NC Sprint 3,,,,,,,,,System,,Pass,,"1.click search
2. enter required fields
3.submit",,,To Do
RVP24- Verify Recently viewed product- Recently viewed product,NC-53,10297,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:11 PM,03/Jan/23 4:20 PM,03/Jan/23 4:29 PM,,,0,Recentlyviewedproduct,h1. Recently viewed product,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"if you select the item you have just viewed, the products you have viewed will be displayed",,,,,,,,,,NC-34,,,,,,,,,0|i001k2:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"
1)select Recently viewed product",,,To Do
SM - Verify Login - Verify email or user name is valid,NC-52,10296,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:04 PM,03/Jan/23 4:41 PM,03/Jan/23 4:26 PM,,,0,Login,"dolongvu

123456

click : đăng nhập",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-2,,,,No error message appeared after enter email and password,,,,,0|i001ji:,,NC Sprint 3,,,,,,,,,System,,Pass,,"1.Click login
2.Enter required fields
3.Submit",,,To Do
SC - Verify Login - Verify login is valid,NC-51,10295,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Đỗ Vũ,62a15e599b728c006a94a6ee,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 4:02 PM,03/Jan/23 4:42 PM,03/Jan/23 4:35 PM,,,0,Login,"dolongvu

123456

click : đăng nhập",,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 4:26 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20230103-092614.png;https://dolongvu.atlassian.net/secure/attachment/10183/image-20230103-092614.png,,,,,,,,,,,,,,,NC-2,,,,User redirected to edit personal information page,,,,,0|i001jm:,,NC Sprint 3,,,,,,,,,System,,Pass,,"1.Click login
2.Enter required fields
3.Submit",,,To Do
C23- Verify Cart-Product Cart,NC-50,10294,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 4:01 PM,03/Jan/23 4:15 PM,03/Jan/23 4:15 PM,,,0,Cart,h1. Products cart,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you choose to add a product to the cart, the product will be displayed, but the cart will be empty",,,,,,,,,,NC-33,,,,,,,,,0|i001je:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"
1)choose to cart",,,To Do
PP22 - Verify Product portfolio-   select category in product catalog,NC-49,10293,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:52 PM,03/Jan/23 4:15 PM,03/Jan/23 4:27 PM,,,0,productportlio,h1. Search by product name,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-31,,,,"Select a product list, if there is one, it will list that product, if not, it will notify you that there is no list in the product.",,,,,0|i001j6:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,1)select category in product catalog,,,To Do
"IPF17 - Verify Product portfolio -  Check if product portfolio is invalid, system displays an error.",NC-48,10292,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:51 PM,03/Jan/23 4:56 PM,03/Jan/23 4:11 PM,,,0,Productportfolio,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-33,,,,,,,,,0|i001iy:,,NC Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
"IPF16 - Verify Describe -  Check if describe is invalid, system displays an error.",NC-47,10291,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:50 PM,03/Jan/23 3:51 PM,03/Jan/23 4:01 PM,,,0,Describe,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,NC-45,,,,,,,,,,,,,,,,NC-32,,,,,,,,,0|i001iq:,,NC Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
S21 - Verify Search-   Search by product id,NC-46,10290,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:49 PM,03/Jan/23 4:11 PM,03/Jan/23 4:27 PM,,,0,Search,h1. Search by product name,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-4,,,,"If searching for a product id in the list, it will search for that product otherwise there is no product",,,,,0|i001ii:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1.Enter search product id
2.submit",,,To Do
"IPF15 - Verify Recently viewed product -  Check if recently viewed product is invalid, system displays an error.",NC-45,10289,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:48 PM,03/Jan/23 3:50 PM,03/Jan/23 4:59 PM,,,0,Recentlyviewedproduct,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,NC-47,,,,,,,,,,,,,,,,,,,NC-34,,,,,,,,,0|i001ia:,,NC Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
"IPF14 - Verify Product sale -  Check if product sale is invalid, system displays an error.",NC-44,10288,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:47 PM,03/Jan/23 3:49 PM,03/Jan/23 4:59 PM,,,0,Productsale,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-36,,,,,,,,,0|i001i2:,,NC Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
S20 - Verify Search-   Search by product name,NC-43,10287,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:46 PM,03/Jan/23 3:50 PM,03/Jan/23 4:12 PM,,,0,Search,h1. Search by product name,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-4,,,,"If searching for a product name in the list, it will search for that product otherwise there is no product",,,,,0|i001hu:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1.Enter search product name
2.submit",,,To Do
"IPF13 - Verify Product hot -  Check if product hot is invalid, system displays an error.",NC-42,10286,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:45 PM,03/Jan/23 3:48 PM,03/Jan/23 4:59 PM,,,0,Producthot,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC-35,,,,,,,,,0|i001bp:zv,,NC Sprint 2,,,,,,,,,Intergartion,,Skip,,,,,To Do
"P19 - Verify Payment-  Check if account balance is invalid, system displays an error.",NC-41,10285,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:42 PM,03/Jan/23 4:44 PM,03/Jan/23 4:41 PM,,,0,Payment,{{checking account balance}},,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 3:42 PM;62a15e599b728c006a94a6ee;image-20230103-075841.png;https://dolongvu.atlassian.net/secure/attachment/10180/image-20230103-075841.png,,,,,"notification message""account balance is invalid""",,,,,,,,,,NC-3,,,,"Message must show  ""account balance is invalid""",,,,,0|i001hm:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1.Add a product to cart
2.click payment",,,To Do
"IPF12 - Verify Search-  Check if search is invalid, system displays an error.",NC-40,10284,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:41 PM,03/Jan/23 3:48 PM,03/Jan/23 3:44 PM,,,0,Search,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 3:42 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20230103-084207.png;https://dolongvu.atlassian.net/secure/attachment/10181/image-20230103-084207.png,,,,,,,,,,,,,,,NC-4,,,,"An error message ""search is invalid""",,,,,0|i001bp:zr,,NC Sprint 2,,,,,,,,,Intergartion,,Pass,,"1.Enter search is invalid
2.submit",,,To Do
"IPF11 - Verify Cart- Check if product is invalid, system displays an error.",NC-39,10283,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,Huy Nguyễn,62a13a06352bf40068d0e81c,03/Jan/23 3:33 PM,03/Jan/23 3:39 PM,03/Jan/23 4:59 PM,,,0,Cart,,,Huy Nguyễn,62a13a06352bf40068d0e81c,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 3:33 PM;ug:099fbc65-ba7a-4c70-ae8d-25ee19cbe082;image-20230103-083332.png;https://dolongvu.atlassian.net/secure/attachment/10177/image-20230103-083332.png,,,,,,,,,,,,,,,NC-33,,,,Shows: cart is empty,,,,,0|i001bp:zi,,NC Sprint 2,,,,,,,,,Intergartion,,Pass,,,,,To Do
L18- Verify Password- Password correct,NC-38,10282,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:32 PM,03/Jan/23 4:32 PM,03/Jan/23 4:30 PM,,,0,Registration,h1. Password must not be blank,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 3:34 PM;62a15e599b728c006a94a6ee;image-20230103-083358.png;https://dolongvu.atlassian.net/secure/attachment/10178/image-20230103-083358.png,,,,,notification message“incorrect password”,,,,,,,,,,NC-2,,,,Message must show “incorrect password”,,,,,0|i001he:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1)Fill in all required fields
2)Submit",,,To Do
L17- Verify Email or Customer Name- Email or Customer Name exist or not,NC-37,10281,Story,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:28 PM,03/Jan/23 3:33 PM,03/Jan/23 4:29 PM,,,0,Login,h1. Email or Customer Name exist or not,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,03/Jan/23 3:31 PM;62a15e599b728c006a94a6ee;image-20230103-083127.png;https://dolongvu.atlassian.net/secure/attachment/10175/image-20230103-083127.png,,,,,notification message“Email or username does not exist”,,,,,,,,,,NC-2,,,,Message must show “Email or username does not exist”,,,,,0|i001h6:,,NC Sprint 1,,,,,,,,,Unit,,Pass,,"1)Fill in all required fields
2)Submit",,,To Do
Product sale,NC-36,10280,Epic,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:26 PM,03/Jan/23 4:28 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Product sale,To Do,,,,purple,,,0|i001gy:,,,,,,,,,,,,,,,,,,To Do
Product hot,NC-35,10279,Epic,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:25 PM,03/Jan/23 4:28 PM,03/Jan/23 4:59 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Product hot,To Do,,,,purple,,,0|i001gq:,,,,,,,,,,,,,,,,,,To Do
Recently viewed product,NC-34,10278,Epic,To Do,NC,N5_CD21CT3,software,Đỗ Vũ,62a15e599b728c006a94a6ee,,,Medium,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,Đỗ Vũ,62a15e599b728c006a94a6ee,03/Jan/23 3:24 PM,03/Jan/23 4:21 PM,03/Jan/23 4:11 PM,,,0,,,,Đỗ Vũ,62a15e599b728c006a94a6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Recently viewed product,To Do,,,,purple,,,0|i001gi:,,,,,,,,,,,,,,,,,,To Do
